,DRG ,Gross Charge,Derived Negotiated Rate Estimate Min,Derived Negotiated Rate Estimate Max,
Illinois,057 - DEG NERVOUS SYSTEM DISORDERS WO MCC,"$40,490 ", $-   , $-   ,
Illinois,061 - ISCH STRK/OCC/TRNS ISCH W THR AGT W MCC,"$88,541 ",  ,  ,
Illinois,064 - INTRACRAN HEMRRHG/CEREB INFRCT W MCC,"$73,872 "," $29,535.00 "," $54,692.00 ",
Illinois,065 - INTRCRN HMRG/CRB INFRC WCC OR TPA 24 HRS,"$47,024 "," $27,333.00 "," $37,621.00 ",
Illinois,066 - INTRACRAN HEMRRHG/CEREB INFRCT WO CC/MCC,"$39,560 "," $29,879.00 "," $36,853.00 ",
Illinois,069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$34,321 ",  ,  ,
Illinois,074 - CRANIAL & PERIPH NERV DISORDERS WO MCC,"$38,541 ",  ,  ,
Illinois,"082 - TRAUM STUPOR & COMA, COMA >1HR W MCC","$78,318 ",  ,  ,
Illinois,"083 - TRAUM STUPOR & COMA, COMA >1HR W CC","$67,240 ",  ,  ,
Illinois,"084 - TRAUM STUPOR & COMA, COMA >1HR WO CC/MCC","$38,811 "," $20,377.00 "," $29,186.00 ",
Illinois,"085 - TRAUM STUPOR & COMA, COMA <1HR W MCC","$85,895 ",  ,  ,
Illinois,"086 - TRAUM STUPOR & COMA, COMA <1HR W CC","$50,515 ",  ,  ,
Illinois,"087 - TRAUM STUPOR & COMA, COMA <1HR WO CC/MCC","$35,764 ",  ,  ,
Illinois,091 - OTH DISORDERS OF NERV SYS W MCC,"$75,081 ",  ,  ,
Illinois,092 - OTH DISORDERS OF NERV SYS W CC,"$42,113 "," $25,839.00 "," $33,483.00 ",
Illinois,093 - OTH DISORDERS OF NERV SYS WO CC/MCC,"$37,038 ",  ,  ,
Illinois,100 - SEIZURES W MCC,"$58,391 "," $19,768.00 "," $29,661.00 ",
Illinois,101 - SEIZURES WO MCC,"$22,697 "," $12,281.00 "," $15,066.00 ",
Illinois,103 - HEADACHES WO MCC,"$26,797 "," $14,294.00 "," $23,015.00 ",
Illinois,125 - OTH DISORDERS OF EYE WO MCC,"$31,997 ",  ,  ,
Illinois,129 - MAJ HEAD & NECK PROC W CC/MCC OR MAJ DEV,"$56,039 "," $36,069.00 "," $46,827.00 ",
Illinois,130 - MAJ HEAD & NECK PROC WO CC/MCC,"$38,800 ",  ,  ,
Illinois,131 - CRAN/FACIAL PROC W CC/MCC,"$85,365 ",  ,  ,
Illinois,132 - CRAN/FACIAL PROC WO CC/MCC,"$60,122 ",  ,  ,
Illinois,"133 - OTH EAR,NOSE,MTH,THROAT OR PX W CC/MCC","$80,147 "," $43,256.00 "," $55,881.00 ",
Illinois,"134 - OTH EAR,NOSE,MTH,THROAT OR PX WO CC/MCC","$47,424 ",  ,  ,
Illinois,137 - MOUTH PROC W CC/MCC,"$42,796 ",  ,  ,
Illinois,151 - EPISTAXIS WO MCC,"$26,911 ",  ,  ,
Illinois,152 - OTITIS MEDIA & URI W MCC,"$32,065 ",  ,  ,
Illinois,153 - OTITIS MEDIA & URI WO MCC,"$21,877 "," $7,997.00 "," $10,932.00 ",
Illinois,157 - DENTAL & ORAL DISEASES W MCC,"$44,042 ",  ,  ,
Illinois,158 - DENTAL & ORAL DISEASES W CC,"$37,334 ",  ,  ,
Illinois,163 - MAJ CHEST PROC W MCC,"$109,654 ",  ,  ,
Illinois,164 - MAJ CHEST PROC W CC,"$83,792 "," $63,273.00 "," $72,508.00 ",
Illinois,165 - MAJ CHEST PROC WO CC/MCC,"$60,139 ",  ,  ,
Illinois,166 - OTH RESP SYS OR PROC W MCC,"$101,230 "," $59,898.00 "," $84,998.00 ",
Illinois,167 - OTH RESP SYS OR PROC W CC,"$56,397 ",  ,  ,
Illinois,168 - OTH RESP SYS OR PROC WO CC/MCC,"$39,596 ",  ,  ,
Illinois,175 - PULMONARY EMBOLISM W MCC OR COR PULMONAL,"$65,700 "," $23,046.00 "," $26,014.00 ",
Illinois,176 - PULMONARY EMBOLISM WO MCC,"$41,629 "," $22,786.00 "," $26,803.00 ",
Illinois,177 - RESP INF & INFLAM W MCC,"$51,655 "," $20,964.00 "," $32,169.00 ",
Illinois,178 - RESP INF & INFLAM W CC,"$46,876 "," $16,894.00 "," $39,495.00 ",
Illinois,179 - RESP INF & INFLAM WO CC/MCC,"$17,710 ",  ,  ,
Illinois,180 - RESP NEOPLASMS W MCC,"$65,254 ",  ,  ,
Illinois,181 - RESP NEOPLASMS W CC,"$29,219 ",  ,  ,
Illinois,186 - PLEURAL EFFUSION W MCC,"$74,810 ",  ,  ,
Illinois,187 - PLEURAL EFFUSION W CC,"$39,048 ",  ,  ,
Illinois,189 - PULM EDEMA & RESP FAILURE,"$44,486 "," $25,075.00 "," $38,258.00 ",
Illinois,190 - CHRONIC OBS PULM DISEASE W MCC,"$48,456 ", $-   , $-   ,
Illinois,191 - CHRONIC OBS PULM DISEASE W CC,"$28,730 ",  ,  ,
Illinois,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,"$49,049 "," $20,564.00 "," $28,611.00 ",
Illinois,194 - SIMPLE PNEUMONIA & PLEURISY W CC,"$25,594 "," $16,403.00 "," $23,191.00 ",
Illinois,195 - SIMPLE PNEUMONIA & PLEURISY WO CC/MCC,"$20,362 "," $13,207.00 "," $19,666.00 ",
Illinois,196 - INTERSTITIAL LUNG DISEASE W MCC,"$72,520 "," $57,222.00 "," $64,990.00 ",
Illinois,199 - PNEUMOTHORAX W MCC,"$86,736 ",  ,  ,
Illinois,200 - PNEUMOTHORAX W CC,"$38,875 ",  ,  ,
Illinois,202 - BRONCHITIS & ASTHMA W CC/MCC,"$31,027 "," $16,664.00 "," $19,663.00 ",
Illinois,203 - BRONCHITIS & ASTHMA WO CC/MCC,"$24,285 "," $14,238.00 "," $20,996.00 ",
Illinois,204 - RESP SIGNS & SYMPTOMS,"$28,355 ",  ,  ,
Illinois,205 - OTH RESP SYS DIAG W MCC,"$69,052 "," $29,089.00 "," $50,859.00 ",
Illinois,206 - OTH RESP SYS DIAG WO MCC,"$26,307 ",  ,  ,
Illinois,207 - RESP SYST DIAG W VENT >96 HRS,"$157,373 "," $122,089.00 "," $174,831.00 ",
Illinois,208 - RESP SYST DIAG W VENT SUPPORT <=96 HRS,"$85,322 "," $39,542.00 "," $57,454.00 ",
Illinois,219 - CARD VLVE&MAJ CARDTHOR PX WO CATH W MCC,"$171,494 "," $135,375.00 "," $152,217.00 ",
Illinois,220 - CARD VLVE&MAJ CARDTHOR PX WO CATH W CC,"$140,924 "," $106,294.00 "," $124,127.00 ",
Illinois,221 - CARD VLV&MAJ CRDTHOR PX WO CATH WO CC/MC,"$117,988 "," $89,153.00 "," $100,374.00 ",
Illinois,227 - CARD DEFIB IMP WO CARD CATH WO MCC,"$157,097 ",  ,  ,
Illinois,228 - OTH CARDIOTHORACIC PROC W MCC,"$154,432 ",  ,  ,
Illinois,229 - OTH CARDIOTHORACIC PROC W/O MCC,"$96,194 ",  ,  ,
Illinois,234 - CORONARY BYPASS W CARD CATH WO MCC,"$153,078 ",  ,  ,
Illinois,235 - CORONARY BYPASS WO CARD CATH W MCC,"$153,178 "," $122,598.00 "," $147,772.00 ",
Illinois,236 - CORONARY BYPASS WO CARD CATH WO MCC,"$118,868 "," $88,128.00 "," $104,061.00 ",
Illinois,239 - AMP FOR CIRC SYS DIS EXC UL&TOE W MCC,"$120,061 ",  ,  ,
Illinois,240 - AMP FOR CIRC SYS DIS EXC UL&TOE W CC,"$93,885 ",  ,  ,
Illinois,242 - PERM CARD PACEMAKER IMP W MCC,"$142,015 ",  ,  ,
Illinois,243 - PERM CARD PACEMAKER IMP W CC,"$77,873 ",  ,  ,
Illinois,246 - PERC CVASC PX W DRG-ELUT STNT W MCC/4+,"$117,666 "," $81,860.00 "," $134,745.00 ",
Illinois,247 - PERC CVASC PX W DRG-ELUT STNT WO MCC,"$76,421 "," $59,573.00 "," $67,715.00 ",
Illinois,250 - PERC CVASC PX WO STENT W MCC,"$90,891 ",  ,  ,
Illinois,252 - OTH VASC PX W MCC,"$95,769 ", $-   , $-   ,
Illinois,253 - OTH VASC PX W CC,"$84,551 "," $40,379.00 "," $45,533.00 ",
Illinois,254 - OTH VASC PX WO CC/MCC,"$61,401 ",  ,  ,
Illinois,264 - OTH CIRC SYS OR PX,"$96,138 ",  ,  ,
Illinois,266 - ENDOVSC CARD VLVE REPL&SUPP PROCS W MCC,"$165,811 ",  ,  ,
Illinois,267 - ENDOVSC CARD VLVE REPL&SUPP PROCS WO MCC,"$122,393 ", $-   , $-   ,
Illinois,269 - AORTIC&HEART ASST PX EX PUL BALLN WO MCC,"$106,856 ",  ,  ,
Illinois,270 - OTHER MAJOR CARDIOVASCULAR PX W MCC,"$144,471 ",  ,  ,
Illinois,271 - OTHER MAJOR CARDIOVASCULAR PX W CC,"$91,579 "," $65,577.00 "," $83,769.00 ",
Illinois,272 - OTHER MAJOR CARDIOVASCULAR PX WO CC/MCC,"$62,917 ",  ,  ,
Illinois,273 - PERCUT AND OTHER INTRACARD PROCS W MCC,"$130,104 ",  ,  ,
Illinois,274 - PERCUT AND OTHER INTRACARD PROCS WO MCC,"$85,691 "," $77,674.00 "," $88,481.00 ",
Illinois,"280 - AMI, DISCH ALIVE W MCC","$56,165 ", $-   , $-   ,
Illinois,"281 - AMI, DISCH ALIVE W CC","$43,164 ",  ,  ,
Illinois,"286 - CIRC DIS EXC AMI, W CATH W MCC","$94,928 "," $48,707.00 "," $70,708.00 ",
Illinois,"287 - CIRC DIS EXC AMI, W CATH WO MCC","$58,756 "," $26,249.00 "," $48,307.00 ",
Illinois,291 - HEART FAILURE & SHOCK W MCC,"$46,774 "," $26,320.00 "," $40,498.00 ",
Illinois,292 - HRT FAILURE & SHOCK W CC,"$34,447 "," $24,204.00 "," $26,928.00 ",
Illinois,293 - HRT FAILURE & SHOCK WO CC/MCC,"$26,901 ",  ,  ,
Illinois,299 - PERIPH VASC DIS W MCC,"$55,052 ",  ,  ,
Illinois,300 - PERIPH VASC DIS W CC,"$32,629 ",  ,  ,
Illinois,301 - PERIPH VASC DIS WO CC/MCC,"$27,726 ",  ,  ,
Illinois,303 - ATHEROSCLEROSIS WO MCC,"$20,762 ",  ,  ,
Illinois,304 - HYPERTENSION W MCC,"$48,385 "," $24,495.00 "," $30,047.00 ",
Illinois,305 - HYPERTENSION WO MCC,"$28,785 "," $10,358.00 "," $16,343.00 ",
Illinois,308 - CARD ARRHYTHMIA & COND DIS W MCC,"$47,271 "," $28,226.00 "," $31,829.00 ",
Illinois,309 - CARD ARRHYTHMIA & COND DIS W CC,"$32,961 "," $16,747.00 "," $28,510.00 ",
Illinois,310 - CARD ARRHYTHMIA & COND DIS WO CC/MCC,"$22,044 "," $14,924.00 "," $16,776.00 ",
Illinois,312 - SYNCOPE & COLLAPSE,"$30,297 ",  ,  ,
Illinois,313 - CHEST PAIN,"$25,508 ",  ,  ,
Illinois,314 - OTH CIRC SYS DX W MCC,"$63,855 "," $33,683.00 "," $75,057.00 ",
Illinois,315 - OTH CIRC SYS DX W CC,"$43,391 "," $28,934.00 "," $36,854.00 ",
Illinois,"326 - STOMACH, ESOPH, & DUODENAL PX W MCC","$128,964 "," $122,528.00 "," $161,463.00 ",
Illinois,"327 - STOMACH, ESOPH, & DUODENAL PX W CC","$99,854 "," $43,447.00 "," $112,084.00 ",
Illinois,"328 - STOMACH, ESOPH, & DUODENAL PX WO CC/MCC","$45,983 "," $31,601.00 "," $34,833.00 ",
Illinois,329 - MAJ SML & LG BOWEL PX W MCC,"$126,407 "," $89,583.00 "," $120,670.00 ",
Illinois,330 - MAJ SML & LG BOWEL PX W CC,"$85,678 "," $59,892.00 "," $71,672.00 ",
Illinois,331 - MAJ SML & LG BOWEL PX WO CC/MCC,"$58,865 "," $50,552.00 "," $58,715.00 ",
Illinois,336 - PERITONEAL ADHESIOLYSIS W CC,"$70,480 ",  ,  ,
Illinois,339 - APPY W COMP PDX W CC,"$52,278 ",  ,  ,
Illinois,342 - APPY WO COMP PDX W CC,"$52,422 ",  ,  ,
Illinois,343 - APPY WO COMP PDX WO CC/MCC,"$35,584 "," $32,098.00 "," $35,670.00 ",
Illinois,354 - HERNIA PX EXC ING & FEM W CC,"$68,714 ",  ,  ,
Illinois,355 - HERNIA PX EXC ING & FEM WO CC/MCC,"$47,998 ",  ,  ,
Illinois,356 - OTH DIG SYS OR PX W MCC,"$131,666 ",  ,  ,
Illinois,357 - OTH DIG SYS OR PX W CC,"$65,320 ",  ,  ,
Illinois,371 - MAJ GI DIS & PERITON INF W MCC,"$59,865 "," $36,220.00 "," $66,213.00 ",
Illinois,372 - MAJ GI DIS & PERITON INF W CC,"$33,569 "," $19,418.00 "," $22,578.00 ",
Illinois,373 - MAJ GI DIS & PERITON INF WO CC/MCC,"$27,033 "," $19,734.00 "," $24,464.00 ",
Illinois,374 - DIGESTIVE MALIGNANCY W MCC,"$56,946 "," $27,266.00 "," $39,513.00 ",
Illinois,375 - DIGESTIVE MALIGNANCY W CC,"$43,491 "," $26,698.00 "," $32,437.00 ",
Illinois,377 - GI HEMORRHAGE W MCC,"$64,877 ", $-   , $-   ,
Illinois,378 - GI HEMORRHAGE W CC,"$42,411 "," $21,266.00 "," $28,708.00 ",
Illinois,386 - INFLAM BOWEL DIS W CC,"$55,942 ",  ,  ,
Illinois,387 - INFLAM BOWEL DIS WO CC/MCC,"$32,884 ",  ,  ,
Illinois,388 - GI OBSTRUCTION W MCC,"$58,316 ",  ,  ,
Illinois,389 - GI OBSTRUCTION W CC,"$31,633 "," $18,937.00 "," $25,746.00 ",
Illinois,390 - GI OBSTRUCTION WO CC/MCC,"$21,183 ",  ,  ,
Illinois,"391 - ESPHAGITIS,GASTROENT&MISC DIG DIS W MCC","$53,299 "," $25,990.00 "," $35,480.00 ",
Illinois,"392 - ESPHAGITIS,GASTROENT&MISC DIG DIS WO MCC","$28,097 "," $16,597.00 "," $22,553.00 ",
Illinois,393 - OTH DIG SYS DX W MCC,"$52,579 "," $29,140.00 "," $37,148.00 ",
Illinois,394 - OTH DIG SYS DX W CC,"$40,892 "," $28,377.00 "," $39,939.00 ",
Illinois,395 - OTH DIG SYS DX WO CC/MCC,"$23,903 ",  ,  ,
Illinois,"405 - PANCREAS, LIVER & SHUNT PX W MCC","$132,043 ",  ,  ,
Illinois,"406 - PANCREAS, LIVER & SHUNT PX W CC","$88,889 "," $73,979.00 "," $84,464.00 ",
Illinois,418 - LAP CHOLE WO CDE W CC,"$67,736 "," $41,938.00 "," $47,373.00 ",
Illinois,419 - LAP CHOLE WO CDE WO CC/MCC,"$48,529 "," $33,503.00 "," $38,627.00 ",
Illinois,432 - CIRRHOSIS & ALC HEPATITIS W MCC,"$69,849 "," $45,906.00 "," $77,611.00 ",
Illinois,433 - CIRRHOSIS & ALC HEPATITIS W CC,"$34,483 "," $21,475.00 "," $31,478.00 ",
Illinois,435 - MALIG HEPATOBIL SYS/PANCREAS W MCC,"$52,852 "," $24,526.00 "," $30,188.00 ",
Illinois,436 - MALIG HEPATOBIL SYS/PANCREAS W CC,"$33,073 ",  ,  ,
Illinois,438 - DIS OF PANCREAS EXC MALIG W MCC,"$65,305 "," $27,877.00 "," $35,500.00 ",
Illinois,439 - DIS OF PANCREAS EXC MALIG W CC,"$35,187 "," $21,844.00 "," $32,657.00 ",
Illinois,440 - DIS OF PANCREAS EXC MALIG WO CC/MCC,"$23,964 ",  ,  ,
Illinois,"441 - DIS LIVR EXC MALIG,CIRR,ALC HEPA W MCC","$62,583 "," $31,012.00 "," $37,779.00 ",
Illinois,"442 - DIS LIVR EXC MALIG,CIRR,ALC HEPA W CC","$37,502 "," $19,467.00 "," $30,716.00 ",
Illinois,"443 - DIS LIVR EXC MAL,CIRR,ALC HEPA WO CC/MCC","$32,344 "," $28,068.00 "," $34,040.00 ",
Illinois,444 - DIS OF BILIARYTRACT W MCC,"$63,915 ", $-   , $-   ,
Illinois,445 - DIS OF BILIARYTRACT W CC,"$51,428 "," $36,789.00 "," $58,587.00 ",
Illinois,446 - DIS OF BILIARYTRACT WO CC/MCC,"$30,440 ",  ,  ,
Illinois,454 - COMB ANT/POST SPIN FUS W CC,"$132,647 ",  ,  ,
Illinois,455 - COMB ANT/POST SPIN FUS WO CC/MCC,"$102,577 ",  ,  ,
Illinois,457 - SP FUS EXC CERV W CURV/MAL/INF/EXT W CC,"$157,642 ",  ,  ,
Illinois,460 - SPIN FUS EXC CERV WO MCC,"$101,688 "," $80,065.00 "," $93,728.00 ",
Illinois,"463 - WD DBRD/SK GRFT,EXC HND/MSCL-CON TS W MC","$122,535 ",  ,  ,
Illinois,"464 - WD DBRD/SK GRFT,EXC HND/MSCL-CON TS W CC","$97,344 ",  ,  ,
Illinois,467 - REV  HIP/KNEE REPLACEMENT W CC,"$83,809 ", $-   , $-   ,
Illinois,468 - REV  HIP/KNEE REPLACEMENT WO CC/MCC,"$58,454 ",  ,  ,
Illinois,469 - MAJ H&K JT REPL/RTCH LE W MCC/ TTL ANK,"$79,088 ",  ,  ,
Illinois,470 - MAJ HIP&KNEE JT REPL/REATTACH LE W/O MCC,"$48,516 "," $37,086.00 "," $40,047.00 ",
Illinois,471 - CERVICAL SPINAL FUSION W MCC,"$137,053 ",  ,  ,
Illinois,472 - CERVICAL SPINAL FUSION W CC,"$95,390 ",  ,  ,
Illinois,473 - CERVICAL SPINAL FUSION WO CC/MCC,"$69,131 ",  ,  ,
Illinois,477 - BX OF MSSKEL SYS/CON TIS W MCC,"$117,837 ",  ,  ,
Illinois,478 - BX OF MSSKEL SYS/CON TIS W CC,"$63,826 ",  ,  ,
Illinois,480 - HIP & FEMUR PX EXC MAJ JT W MCC,"$117,203 ", $-   , $-   ,
Illinois,481 - HIP & FEMUR PX EXC MAJ JT W CC,"$76,589 "," $53,403.00 "," $58,056.00 ",
Illinois,482 - HIP & FEMUR PX EXC MAJ JT WO CC/MCC,"$51,558 ",  ,  ,
Illinois,483 - MAJ JT & LIMB REATTACH PX UE,"$46,886 "," $39,039.00 "," $42,050.00 ",
Illinois,"492 - LE&HUMER PX EXC HIP, FT, FEMUR W MCC","$102,477 ",  ,  ,
Illinois,"493 - LE&HUMER PX EXC HIP, FT, FEMUR W CC","$86,511 "," $51,593.00 "," $76,686.00 ",
Illinois,"494 - LE& HUMER PX EXC HIP,FT, FEMUR WO CC/MCC","$58,170 "," $45,906.00 "," $55,110.00 ",
Illinois,501 - SOFT TISSUE PX W CC,"$63,581 ",  ,  ,
Illinois,516 - OTH MSSKEL SYS&CONN TISS OR PX W CC,"$83,518 ",  ,  ,
Illinois,517 - OTH MSSKEL SYS&CONN TISS OR PX WO CC/MCC,"$50,456 ",  ,  ,
Illinois,519 - BACK&NECK PX EXC SPIN FUS W CC,"$69,073 ",  ,  ,
Illinois,536 - FRACTURES OF HIP & PELVIS WO MCC,"$40,939 ",  ,  ,
Illinois,542 - PATH FX&MSSKL/CONN TISS MALIG W MCC,"$62,666 ",  ,  ,
Illinois,543 - PATH FX&MSSKL/CONN TISS MALIG W CC,"$48,168 ",  ,  ,
Illinois,545 - CONN TISS DISORDERS W MCC,"$88,408 "," $40,851.00 "," $83,220.00 ",
Illinois,546 - CONN TISS DISORDERS W CC,"$37,352 "," $22,082.00 "," $26,476.00 ",
Illinois,551 - MEDICAL BACK PROBLEMS W MCC,"$57,366 ",  ,  ,
Illinois,552 - MEDICAL BACK PROBLEMS WO MCC,"$40,649 "," $29,154.00 "," $33,119.00 ",
Illinois,554 - BONE DIS & ARTHROPATHIES WO MCC,"$25,689 ",  ,  ,
Illinois,"558 - TENDONITIS, MYOSITIS & BURSITIS WO MCC","$32,286 ",  ,  ,
Illinois,"563 - FX/SPRN/STRN/DISL EXC FEM,HIP,PELV WO MC","$33,407 ",  ,  ,
Illinois,571 - SKIN DEBRIDEMENT W CC,"$61,734 ",  ,  ,
Illinois,"580 - OTH SKIN, SUBQ TIS, & BRST PX W CC","$68,109 "," $38,041.00 "," $62,215.00 ",
Illinois,"581 - OTH SKIN, SUBQ TIS, & BRST PX WO CC/MCC","$46,311 ",  ,  ,
Illinois,596 - MAJ SKIN DISORDERS WO MCC,"$29,857 ",  ,  ,
Illinois,602 - CELLULITIS W MCC,"$54,473 ",  ,  ,
Illinois,603 - CELLULITIS WO MCC,"$27,137 "," $14,152.00 "," $22,159.00 ",
Illinois,"605 - TRAUMA SKIN,SUBQ TIS & BREAST WO MCC","$28,250 "," $10,618.00 "," $15,306.00 ",
Illinois,607 - MINOR SKIN DISORDERS WO MCC,"$25,098 "," $13,081.00 "," $16,397.00 ",
Illinois,614 - ADRENAL & PITUITARY PX W CC/MCC,"$86,074 ",  ,  ,
Illinois,615 - ADRENAL & PITUITARY PX WO CC/MCC,"$49,433 ",  ,  ,
Illinois,"617 - AMP L LIMB/ENDOC,NUT,METAB DIS W CC","$65,699 ",  ,  ,
Illinois,620 - OR PX FOR OBESITY W CC,"$42,763 "," $36,044.00 "," $39,671.00 ",
Illinois,621 - OR PX FOR OBESITY WO CC/MCC,"$38,817 "," $34,564.00 "," $36,911.00 ",
Illinois,"623 - SKN GRFT&WD DBRD/ENDOC,NUT,MTB DIS W CC","$56,949 ",  ,  ,
Illinois,"626 - THYR,PARATHYR,THYROGLOSS PX W CC","$53,201 ",  ,  ,
Illinois,"629 - OTH ENDOC,NUT,METAB OR PX W CC","$60,868 ",  ,  ,
Illinois,637 - DIABETES W MCC,"$47,016 ",  ,  ,
Illinois,638 - DIABETES W CC,"$30,156 "," $18,785.00 "," $23,447.00 ",
Illinois,639 - DIABETES WO CC/MCC,"$22,743 "," $16,185.00 "," $20,721.00 ",
Illinois,"640 - MISC DIS NUT,METAB,FLU/ELCTRLYTES W MCC","$47,292 "," $23,337.00 "," $33,896.00 ",
Illinois,"641 - MISC DIS NUT,METAB,FLU/ELCTRLYTES WO MCC","$28,505 "," $16,818.00 "," $22,676.00 ",
Illinois,643 - ENDOCRINE DISORDERS W MCC,"$66,461 ",  ,  ,
Illinois,644 - ENDOCRINE DISORDERS W CC,"$40,789 ",  ,  ,
Illinois,652 - KIDNEY TRANSPLANT,"$212,213 "," $199,554.00 "," $204,326.00 ",
Illinois,653 - MAJOR BLADDER PX W MCC,"$121,028 ",  ,  ,
Illinois,654 - MAJOR BLADDER PX W CC,"$92,360 "," $79,123.00 "," $92,511.00 ",
Illinois,657 - KIDNEY&URETER PX/NEOPLASM W CC,"$60,873 ",  ,  ,
Illinois,658 - KIDNEY&URETER PX/NEOPLASM WO CC/MCC,"$45,436 ",  ,  ,
Illinois,659 - KIDNEY&URETER PX/NON-NEOPLASM W MCC,"$82,086 ",  ,  ,
Illinois,660 - KIDNEY&URETER PX/NON-NEOPLASM W CC,"$55,968 "," $39,927.00 "," $45,381.00 ",
Illinois,661 - KIDNEY&URETER PX/NON-NEOPLASM WO CC/MCC,"$42,847 "," $36,752.00 "," $40,595.00 ",
Illinois,673 - OTH KIDNEY & URIN TRCT PX W MCC,"$120,561 ",  ,  ,
Illinois,682 - RENAL FAILURE W MCC,"$57,184 "," $36,309.00 "," $58,128.00 ",
Illinois,683 - RENAL FAILURE W CC,"$30,740 "," $18,195.00 "," $21,217.00 ",
Illinois,689 - KIDNEY & URIN TRCT INF W MCC,"$42,886 ", $-   , $-   ,
Illinois,690 - KIDNEY & URIN TRCT INF WO MCC,"$26,285 "," $13,978.00 "," $18,797.00 ",
Illinois,694 - URINARY STONES W/O MCC,"$25,227 ",  ,  ,
Illinois,698 - OTH KIDNEY & URIN TRCT DX W MCC,"$57,412 "," $35,009.00 "," $45,072.00 ",
Illinois,699 - OTH KIDNEY & URIN TRCT DX W CC,"$32,922 "," $22,402.00 "," $29,918.00 ",
Illinois,737 - UTER&ADNX PX/OV OR ADNX MALIG W CC,"$68,414 ",  ,  ,
Illinois,"740 - UTER,ADNX PX/NON-OV/ADNX MALIG W CC","$68,213 ",  ,  ,
Illinois,742 - UTER&ADNX PX/NON-MALIGNANCY W CC/MCC,"$46,636 "," $29,024.00 "," $37,524.00 ",
Illinois,743 - UTER&ADNX PX/NON-MALIGNANCY WO CC/MCC,"$41,199 "," $29,301.00 "," $37,395.00 ",
Illinois,755 - MALIG FEM REP SYS W CC,"$38,045 ",  ,  ,
Illinois,768 - VAG DEL W OR PROC EXP STERIL &/OR D&C,"$21,565 "," $13,938.00 "," $15,159.00 ",
Illinois,776 - POSTPARTUM & POSTABORTION DX WO OR PX,"$22,649 "," $10,807.00 "," $12,078.00 ",
Illinois,786 - CESAREAN SECTION W/O STERILIZATION W MCC,"$54,130 "," $30,299.00 "," $39,085.00 ",
Illinois,787 - CESAREAN SECTION W/O STERILIZATION W CC,"$35,192 "," $23,966.00 "," $31,166.00 ",
Illinois,788 - CESAREAN SECTION W/O STERIL W/O CC/MCC,"$28,928 "," $20,927.00 "," $25,338.00 ",
Illinois,"790 - EXTR IMMATURITY/RESP DIST SYND, NEONATE","$78,815 "," $39,610.00 "," $88,419.00 ",
Illinois,791 - PREMATURITY W MAJOR PROBLEMS,"$55,583 "," $20,813.00 "," $42,888.00 ",
Illinois,792 - PREMATURITY WO MAJOR PROBLEMS,"$17,948 "," $6,337.00 "," $8,535.00 ",
Illinois,793 - FULL TERM NEONATE W MAJOR PROBLEMS,"$22,199 "," $8,819.00 "," $12,812.00 ",
Illinois,794 - NEONATE WI OTH SIGNIFICANT PROBLEMS,"$7,314 "," $4,856.00 "," $6,498.00 ",
Illinois,795 - NORMAL NEWBORN,"$5,472 "," $4,470.00 "," $4,834.00 ",
