Facility_BU_ID,MS-DRG,Description,Min_Negotiated_Rate,Max_Negotiated_Rate
66513,184,Major Chest Trauma With CC,6444.28,22835.28
66513,185,Major Chest Trauma Without CC/MCC,4796.32,16995.74
66513,186,Pleural Effusion With MCC,9567.84,33903.6
66513,187,Pleural Effusion With CC,6399.64,22677.1
66513,188,Pleural Effusion Without CC/MCC,4514.22,15996.12
66513,189,Pulmonary Edema And Respiratory Failure,7593.76,26908.46
66513,19,Simultaneous Pancreas And Kidney Transplant With Hemodialysis,41303.78,146359.78
66513,190,Chronic Obstructive Pulmonary Disease With MCC,6968.18,24691.72
66513,191,Chronic Obstructive Pulmonary Disease With CC,5475.22,19401.42
66513,192,Chronic Obstructive Pulmonary Disease Without CC/MCC,4308.38,15266.73
66513,193,Simple Pneumonia And Pleurisy With MCC,8126.34,28795.65
66513,194,Simple Pneumonia And Pleurisy With CC,5350.6,18959.83
66513,195,Simple Pneumonia And Pleurisy Without CC/MCC,4123,14609.83
66513,196,Interstitial Lung Disease With MCC,10763.82,38141.55
66513,197,Interstitial Lung Disease With CC,6234.72,22092.71
66513,198,Interstitial Lung Disease Without CC/MCC,4602.26,16308.09
66513,199,Pneumothorax With MCC,11083.12,39272.99
66513,2,Heart Transplant Or Implant Of Heart Assist System Without MCC,98772.2,349998.89
66513,20,Intracranial Vascular Procedures With Principal Diagnosis Hemorrhage With MCC,63984.62,226729.24
66513,200,Pneumothorax With CC,6665,23617.4
66513,201,Pneumothorax Without CC/MCC,4398.9,15587.48
66513,202,Bronchitis And Asthma With CC/MCC,5986.72,21213.92
66513,203,Bronchitis And Asthma Without CC/MCC,4374.1,15499.61
66513,204,Respiratory Signs And Symptoms,4913.5,17410.97
66513,205,Other Respiratory System Diagnoses With MCC,10430.26,36959.58
66513,206,Other Respiratory System Diagnoses Without MCC,5482.04,19425.59
66513,207,Respiratory System Diagnosis With Ventilator Support >96 Hours,35503.68,125807.15
66513,208,Respiratory System Diagnosis With Ventilator Support <=96 Hours,15762.26,55853.5
66513,21,Intracranial Vascular Procedures With Principal Diagnosis Hemorrhage With CC,46695.92,165466.8
66513,215,Other Heart Assist System Implant,69178.98,245135.44
66513,216,Cardiac Valve And Other Major Cardiothoracic Procedures With Cardiac Catheterization With MCC,64666.62,229145.91
66513,217,Cardiac Valve And Other Major Cardiothoracic Procedures With Cardiac Catheterization With CC,40255.36,142644.71
66513,218,Cardiac Valve And Other Major Cardiothoracic Procedures With Cardiac Catheterization Without CC/MCC,31887.84,112994.43
66513,219,Cardiac Valve And Other Major Cardiothoracic Procedures Without Cardiac Catheterization With MCC,49941.62,176967.93
66513,22,Intracranial Vascular Procedures With Principal Diagnosis Hemorrhage Without CC/MCC,30129.52,106763.83
66513,220,Cardiac Valve And Other Major Cardiothoracic Procedures Without Cardiac Catheterization With CC,33479.38,118634.05
66513,221,Cardiac Valve And Other Major Cardiothoracic Procedures Without Cardiac Catheterization Without CC/MCC,28224.26,100012.55
66513,222,"Cardiac Defibrillator Implant With Cardiac Catheterization With Ami, Hf Or Shock With MCC",52210.82,185008.83
66513,223,"Cardiac Defibrillator Implant With Cardiac Catheterization With Ami, Hf Or Shock Without MCC",38515.02,136477.82
66513,224,"Cardiac Defibrillator Implant With Cardiac Catheterization Without Ami, Hf Or Shock With MCC",45645.64,161745.14
66513,225,"Cardiac Defibrillator Implant With Cardiac Catheterization Without Ami, Hf Or Shock Without MCC",34886.16,123618.97
66513,226,Cardiac Defibrillator Implant Without Cardiac Catheterization With MCC,40993.16,145259.1
66513,227,Cardiac Defibrillator Implant Without Cardiac Catheterization Without MCC,32561.78,115382.54
66513,228,Other Cardiothoracic Procedures With MCC,38534.86,136548.12
66513,229,Other Cardiothoracic Procedures Without MCC,24725.6,87615.06
66513,23,Craniotomy With Major Device Implant Or Acute Complex Cns Principal Diagnosis With MCC Or Chemotherapy Implant Or Epilepsy With Neurostimulator,35106.26,124398.89
66513,230,Other Cardiothoracic Procedures W/O CC/MCC,60421,60421
66513,231,Coronary Bypass With Ptca With MCC,52639.24,186526.93
66513,232,Coronary Bypass With Ptca Without MCC,36569.46,129583.73
66513,233,Coronary Bypass With Cardiac Catheterization With MCC,48314.74,171203.09
66513,234,Coronary Bypass With Cardiac Catheterization Without MCC,32967.88,116821.55
66513,235,Coronary Bypass Without Cardiac Catheterization With MCC,37387.24,132481.53
66513,236,Coronary Bypass Without Cardiac Catheterization Without MCC,25300.96,89653.85
66513,237,Major Cardiovasc Procedures W MCC,59471,59471
66513,238,Major Cardiovasc Procedures W/O MCC,59471,59471
66513,239,Amputation For Circulatory System Disorders Except Upper Limb And Toe With MCC,29813.94,105645.58
66513,24,Craniotomy With Major Device Implant Or Acute Complex Cns Principal Diagnosis Without MCC,24381.5,86395.75
66513,240,Amputation For Circulatory System Disorders Except Upper Limb And Toe With CC,17298,61295.39
66513,241,Amputation For Circulatory System Disorders Except Upper Limb And Toe Without CC/MCC,9866.68,34962.54
66513,242,Permanent Cardiac Pacemaker Implant With MCC,23079.5,81782.12
66513,243,Permanent Cardiac Pacemaker Implant With CC,15702.12,55640.4
66513,244,Permanent Cardiac Pacemaker Implant Without CC/MCC,12807.34,45382.76
66513,245,Aicd Generator Procedures,33566.8,118943.82
66513,246,Percutaneous Cardiovascular Procedures With Drug-Eluting Stent With MCC Or 4+ Arteries Or Stents,19379.34,68670.61
66513,247,Percutaneous Cardiovascular Procedures With Drug-Eluting Stent Without MCC,12326.84,43680.11
66513,248,Percutaneous Cardiovascular Procedures With Non-Drug-Eluting Stent With MCC Or 4+ Arteries Or Stents,19678.18,69729.55
66513,249,Percutaneous Cardiovascular Procedures With Non-Drug-Eluting Stent Without MCC,11651.66,41287.61
66513,25,Craniotomy And Endovascular Intracranial Procedures With MCC,27848.54,98681.19
66513,250,Percutaneous Cardiovascular Procedures Without Coronary Artery Stent With MCC,15641.36,55425.1
66513,251,Percutaneous Cardiovascular Procedures Without Coronary Artery Stent Without MCC,10290.76,36465.27
66513,252,Other Vascular Procedures With MCC,20588.34,72954.7
66513,253,Other Vascular Procedures With CC,16452.94,58300.93
66513,254,Other Vascular Procedures Without CC/MCC,11218.9,39754.13
66513,255,Upper Limb And Toe Amputation For Circulatory System Disorders With MCC,15766.6,55868.88
66513,256,Upper Limb And Toe Amputation For Circulatory System Disorders With CC,10187.22,36098.37
66513,257,Upper Limb And Toe Amputation For Circulatory System Disorders Without CC/MCC,7198.2,25506.79
66513,258,Cardiac Pacemaker Device Replacement With MCC,17108,70331.52
66513,259,Cardiac Pacemaker Device Replacement Without MCC,13145.24,46580.1
66513,26,Craniotomy And Endovascular Intracranial Procedures With CC,18959.6,67183.27
66513,260,Cardiac Pacemaker Revision Except Device Replacement With MCC,14936,78743.71
66513,261,Cardiac Pacemaker Revision Except Device Replacement With CC,12346.06,43748.21
66513,262,Cardiac Pacemaker Revision Except Device Replacement Without CC/MCC,10590.22,37526.4
66513,263,Vein Ligation And Stripping,14292.86,50646.69
66513,264,Other Circulatory System O.R. Procedures,20136.36,71353.11
66513,265,Aicd Lead Procedures,20848.74,73877.43
66513,266,Endovascular Cardiac Valve Replacement And Supplement Procedures With MCC,44002.64,155923.18
66513,267,Endovascular Cardiac Valve Replacement And Supplement Procedures Without MCC,34725.58,123049.95
66513,268,Aortic And Heart Assist Procedures Except Pulsation Balloon With MCC,43118.52,152790.3
66513,269,Aortic And Heart Assist Procedures Except Pulsation Balloon Without MCC,26750.52,94790.36
66513,27,Craniotomy And Endovascular Intracranial Procedures Without CC/MCC,15573.16,55183.43
66513,270,Other Major Cardiovascular Procedures With MCC,32125.92,113838.07
66513,271,Other Major Cardiovascular Procedures With CC,22100.52,78313.1
66513,272,Other Major Cardiovascular Procedures Without CC/MCC,16670.56,59072.06
66513,273,Percutaneous And Other Intracardiac Procedures With MCC,23790.64,84302.04
66513,274,Percutaneous And Other Intracardiac Procedures Without MCC,20369.48,72179.17
66513,28,Spinal Procedures With MCC,36084,127863.51
66513,280,"Acute Myocardial Infarction, Discharged Alive With MCC",10082.44,35727.09
66513,281,"Acute Myocardial Infarction, Discharged Alive With CC",5779.02,20477.93
66513,282,"Acute Myocardial Infarction, Discharged Alive Without CC/MCC",4498.1,15939
66513,283,"Acute Myocardial Infarction, Expired With MCC",11560.52,40964.66
66513,284,"Acute Myocardial Infarction, Expired With CC",4552.04,17108
66513,285,"Acute Myocardial Infarction, Expired Without CC/MCC",3077.68,17108
66513,286,"Circulatory Disorders Except Ami, With Cardiac Catheterization With MCC",11540,48643.06
66513,287,"Circulatory Disorders Except Ami, With Cardiac Catheterization Without MCC",7130,25265.13
66513,288,Acute And Subacute Endocarditis With MCC,16622.2,58900.7
66513,289,Acute And Subacute Endocarditis With CC,10184.12,36087.39
66513,29,Spinal Procedures With CC Or Spinal Neurostimulators,20429,72390.08
66513,290,Acute And Subacute Endocarditis Without CC/MCC,6346.32,28784
66513,291,Heart Failure And Shock With MCC,8313.58,29459.14
66513,292,Heart Failure And Shock With CC,5549.62,19665.06
66513,293,Heart Failure And Shock Without CC/MCC,4046.12,14337.41
66513,294,Deep Vein Thrombophlebitis With CC/MCC,7949.02,28167.32
66513,295,Deep Vein Thrombophlebitis Without CC/MCC,6084.06,21558.84
66513,296,"Cardiac Arrest, Unexplained With MCC",9887.76,35037.24
66513,297,"Cardiac Arrest, Unexplained With CC",4368.52,15479.83
66513,298,"Cardiac Arrest, Unexplained Without CC/MCC",3026.84,10725.6
66513,299,Peripheral Vascular Disorders With MCC,9494.68,33644.36
66513,3,"Ecmo Or Tracheostomy With Mv >96 Hours Or Principal Diagnosis Except Face, Mouth And Neck With Major O.R. Procedures",117745.44,417230.49
66513,30,Spinal Procedures Without CC/MCC,14614.02,51784.72
66513,300,Peripheral Vascular Disorders With CC,6461.64,22896.8
66513,301,Peripheral Vascular Disorders Without CC/MCC,4603.5,16312.48
66513,302,Atherosclerosis With MCC,6779.7,24023.84
66513,303,Atherosclerosis Without MCC,4193.68,14860.29
66513,304,Hypertension With MCC,6792.72,24069.98
66513,305,Hypertension Without MCC,4578.7,16224.6
66513,306,Cardiac Congenital And Valvular Disorders With MCC,9322.94,33035.8
66513,307,Cardiac Congenital And Valvular Disorders Without MCC,5384.08,19078.47
66513,308,Cardiac Arrhythmia And Conduction Disorders With MCC,7435.66,26348.23
66513,309,Cardiac Arrhythmia And Conduction Disorders With CC,4646.28,16464.07
66513,31,Ventricular Shunt Procedures With MCC,27069.82,95921.8
66513,310,Cardiac Arrhythmia And Conduction Disorders Without CC/MCC,3462.08,12267.87
66513,311,Angina Pectoris,4321.4,15312.86
66513,312,Syncope And Collapse,5190.64,18393.01
66513,313,Chest Pain,4468.96,15835.74
66513,314,Other Circulatory System Diagnoses With MCC,12917.08,45771.62
66513,315,Other Circulatory System Diagnoses With CC,6046.24,21424.83
66513,316,Other Circulatory System Diagnoses Without CC/MCC,4646.9,16466.27
66513,319,Other Endovascular Cardiac Valve Procedures With MCC,26757.96,94816.72
66513,32,Ventricular Shunt Procedures With CC,13715.64,48601.32
66513,320,Other Endovascular Cardiac Valve Procedures Without MCC,15150.94,53687.29
66513,326,"Stomach, Esophageal And Duodenal Procedures With MCC",33341.74,118146.32
66513,327,"Stomach, Esophageal And Duodenal Procedures With CC",16179.52,57332.06
66513,328,"Stomach, Esophageal And Duodenal Procedures Without CC/MCC",10326.1,36590.49
66513,329,Major Small And Large Bowel Procedures With MCC,30071.86,106559.51
66513,33,Ventricular Shunt Procedures Without CC/MCC,10668.34,37803.22
66513,330,Major Small And Large Bowel Procedures With CC,15741.8,55781
66513,331,Major Small And Large Bowel Procedures Without CC/MCC,10602.62,37570.34
66513,332,Rectal Resection With MCC,25790.14,91387.26
66513,333,Rectal Resection With CC,13274.2,47037.07
66513,334,Rectal Resection Without CC/MCC,9977.04,35353.6
66513,335,Peritoneal Adhesiolysis With MCC,24120.48,85470.82
66513,336,Peritoneal Adhesiolysis With CC,14153.98,50154.57
66513,337,Peritoneal Adhesiolysis Without CC/MCC,10122.12,35867.69
66513,338,Appendectomy With Complicated Principal Diagnosis With MCC,17352.56,61488.73
66513,339,Appendectomy With Complicated Principal Diagnosis With CC,10509,37238.6
66513,34,Carotid Artery Stent Procedures With MCC,24642.52,87320.67
66513,340,Appendectomy With Complicated Principal Diagnosis Without CC/MCC,7616.08,26987.55
66513,341,Appendectomy Without Complicated Principal Diagnosis With MCC,14360.44,50886.16
66513,342,Appendectomy Without Complicated Principal Diagnosis With CC,8885.22,31484.74
66513,343,Appendectomy Without Complicated Principal Diagnosis Without CC/MCC,6878.28,24373.16
66513,344,Minor Small And Large Bowel Procedures With MCC,17365.58,61534.86
66513,345,Minor Small And Large Bowel Procedures With CC,9781.74,34661.56
66513,346,Minor Small And Large Bowel Procedures Without CC/MCC,7905,28011.34
66513,347,Anal And Stomal Procedures With MCC,15261.92,54080.55
66513,348,Anal And Stomal Procedures With CC,8322.88,29492.09
66513,349,Anal And Stomal Procedures Without CC/MCC,6071.66,21514.9
66513,35,Carotid Artery Stent Procedures With CC,14490.02,51345.33
66513,350,Inguinal And Femoral Hernia Procedures With MCC,15204.88,53878.43
66513,351,Inguinal And Femoral Hernia Procedures With CC,9240.48,32743.6
66513,352,Inguinal And Femoral Hernia Procedures Without CC/MCC,6838.6,24232.55
66513,353,Hernia Procedures Except Inguinal And Femoral With MCC,18651.46,66091.37
66513,354,Hernia Procedures Except Inguinal And Femoral With CC,11054.6,39171.93
66513,355,Hernia Procedures Except Inguinal And Femoral Without CC/MCC,8427.04,29861.18
66513,356,Other Digestive System O.R. Procedures With MCC,26606.68,94280.66
66513,357,Other Digestive System O.R. Procedures With CC,13972.94,49513.06
66513,358,Other Digestive System O.R. Procedures Without CC/MCC,8301.8,29417.39
66513,36,Carotid Artery Stent Procedures Without CC/MCC,11477.44,40670.26
66513,368,Major Esophageal Disorders With MCC,12042.26,42671.7
66513,369,Major Esophageal Disorders With CC,6676.16,23656.95
66513,37,Extracranial Procedures With MCC,20303.14,71944.09
66513,370,Major Esophageal Disorders Without CC/MCC,4635.12,16424.53
66513,371,Major Gastrointestinal Disorders And Peritoneal Infections With MCC,10715.46,37970.19
66513,372,Major Gastrointestinal Disorders And Peritoneal Infections With CC,6371.12,22576.04
66513,373,Major Gastrointestinal Disorders And Peritoneal Infections Without CC/MCC,4609.7,16334.45
66513,374,Digestive Malignancy With MCC,12820.98,45431.09
66513,375,Digestive Malignancy With CC,7470.38,26471.26
66513,376,Digestive Malignancy Without CC/MCC,5550.24,19667.25
66513,377,Gastrointestinal Hemorrhage With MCC,11153.18,39521.25
66513,378,Gastrointestinal Hemorrhage With CC,6157.84,21820.28
66513,379,Gastrointestinal Hemorrhage Without CC/MCC,3950.02,13996.88
66513,38,Extracranial Procedures With CC,10275.26,36410.34
66513,380,Complicated Peptic Ulcer With MCC,11675.22,41371.09
66513,381,Complicated Peptic Ulcer With CC,6570.14,23281.26
66513,382,Complicated Peptic Ulcer Without CC/MCC,4763.46,16879.3
66513,383,Uncomplicated Peptic Ulcer With MCC,8127.58,28800.05
66513,384,Uncomplicated Peptic Ulcer Without MCC,5532.88,19605.74
66513,385,Inflammatory Bowel Disease With MCC,10038.42,35571.1
66513,386,Inflammatory Bowel Disease With CC,6159.7,21826.87
66513,387,Inflammatory Bowel Disease Without CC/MCC,4423.7,15675.36
66513,388,Gastrointestinal Obstruction With MCC,9373.16,33213.75
66513,389,Gastrointestinal Obstruction With CC,5095.16,18054.68
66513,39,Extracranial Procedures Without CC/MCC,7061.8,25023.46
66513,390,Gastrointestinal Obstruction Without CC/MCC,3612.12,12799.53
66513,391,"Esophagitis, Gastroenteritis And Miscellaneous Digestive Disorders With MCC",7715.28,27339.06
66513,392,"Esophagitis, Gastroenteritis And Miscellaneous Digestive Disorders Without MCC",4739.28,16793.62
66513,393,Other Digestive System Diagnoses With MCC,10252.32,36329.05
66513,394,Other Digestive System Diagnoses With CC,5819.32,20620.74
66513,395,Other Digestive System Diagnoses Without CC/MCC,4028.14,14273.7
66513,4,"Tracheostomy With Mv >96 Hours Or Principal Diagnosis Except Face, Mouth And Neck Without Major O.R. Procedures",73544.4,260604.28
66513,40,"Peripheral, Cranial Nerve And Other Nervous System Procedures With MCC",24538.36,86951.58
66513,405,"Pancreas, Liver And Shunt Procedures With MCC",35529.1,125897.22
66513,406,"Pancreas, Liver And Shunt Procedures With CC",17837.4,63206.75
66513,407,"Pancreas, Liver And Shunt Procedures Without CC/MCC",13119.2,46487.83
66513,408,Biliary Tract Procedures Except Only Cholecystectomy With Or Without C.D.E. With MCC,23246.9,82375.3
66513,409,Biliary Tract Procedures Except Only Cholecystectomy With Or Without C.D.E. With CC,13108.66,46450.48
66513,41,"Peripheral, Cranial Nerve And Other Nervous System Procedures With CC Or Peripheral Neurostimulator",14574.96,51646.31
66513,410,Biliary Tract Procedures Except Only Cholecystectomy With Or Without C.D.E. Without CC/MCC,9707.34,34397.92
66513,411,Cholecystectomy With C.D.E. With MCC,23264.88,82439.01
66513,412,Cholecystectomy With C.D.E. With CC,14109.34,49996.39
66513,413,Cholecystectomy With C.D.E. Without CC/MCC,10734.68,38038.3
66513,414,Cholecystectomy Except By Laparoscope Without C.D.E. With MCC,22478.1,79651.06
66513,415,Cholecystectomy Except By Laparoscope Without C.D.E. With CC,12597.78,44640.18
66513,416,Cholecystectomy Except By Laparoscope Without C.D.E. Without CC/MCC,8817.64,31245.27
66513,417,Laparoscopic Cholecystectomy Without C.D.E. With MCC,15025.7,53243.51
66513,418,Laparoscopic Cholecystectomy Without C.D.E. With CC,10466.22,37087.01
66513,419,Laparoscopic Cholecystectomy Without C.D.E. Without CC/MCC,8154.24,28894.52
66513,42,"Peripheral, Cranial Nerve And Other Nervous System Procedures Without CC/MCC",11686.38,41410.64
66513,420,Hepatobiliary Diagnostic Procedures With MCC,21787.42,77203.63
66513,421,Hepatobiliary Diagnostic Procedures With CC,11835.18,41937.91
66513,422,Hepatobiliary Diagnostic Procedures Without CC/MCC,8998.68,31886.79
66513,423,Other Hepatobiliary Or Pancreas O.R. Procedures With MCC,25909.8,91811.27
66513,424,Other Hepatobiliary Or Pancreas O.R. Procedures With CC,14145.92,50126.01
66513,425,Other Hepatobiliary Or Pancreas O.R. Procedures Without CC/MCC,9568.46,33905.8
66513,432,Cirrhosis And Alcoholic Hepatitis With MCC,11669.02,41349.13
66513,433,Cirrhosis And Alcoholic Hepatitis With CC,6376.7,22595.81
66513,434,Cirrhosis And Alcoholic Hepatitis Without CC/MCC,3841.52,13612.41
66513,435,Malignancy Of Hepatobiliary System Or Pancreas With MCC,10867.36,38508.45
66513,436,Malignancy Of Hepatobiliary System Or Pancreas With CC,6945.24,24610.43
66513,437,Malignancy Of Hepatobiliary System Or Pancreas Without CC/MCC,5545.9,19651.87
66513,438,Disorders Of Pancreas Except Malignancy With MCC,9897.06,35070.19
66513,439,Disorders Of Pancreas Except Malignancy With CC,5235.28,18551.19
66513,440,Disorders Of Pancreas Except Malignancy Without CC/MCC,3756.58,13311.43
66513,441,"Disorders Of Liver Except Malignancy, Cirrhosis Or Alcoholic Hepatitis With MCC",11678.94,41384.28
66513,442,"Disorders Of Liver Except Malignancy, Cirrhosis Or Alcoholic Hepatitis With CC",5775.92,20466.95
66513,443,"Disorders Of Liver Except Malignancy, Cirrhosis Or Alcoholic Hepatitis Without CC/MCC",4109.36,14561.5
66513,444,Disorders Of The Biliary Tract With MCC,10346.56,36662.99
66513,445,Disorders Of The Biliary Tract With CC,6676.16,23656.95
66513,446,Disorders Of The Biliary Tract Without CC/MCC,5060.44,17931.65
66513,453,Combined Anterior And Posterior Spinal Fusion With MCC,57000.32,201980.4
66513,454,Combined Anterior And Posterior Spinal Fusion With CC,37808.22,133973.28
66513,455,Combined Anterior And Posterior Spinal Fusion Without CC/MCC,29704.2,105256.71
66513,456,"Spinal Fusion Except Cervical With Spinal Curvature, Malignancy, Infection Or Extensive Fusions With MCC",35215,188897.46
66513,457,"Spinal Fusion Except Cervical With Spinal Curvature, Malignancy, Infection Or Extensive Fusions With CC",34926,142846.83
66513,458,"Spinal Fusion Except Cervical With Spinal Curvature, Malignancy, Infection Or Extensive Fusions Without CC/MCC",31107.88,110230.65
66513,459,Spinal Fusion Except Cervical With MCC,40395,147895.46
66513,460,Spinal Fusion Except Cervical Without MCC,24382.74,86400.14
66513,461,Bilateral Or Multiple Major Joint Procedures Of Lower Extremity With MCC,37672.44,133492.14
66513,462,Bilateral Or Multiple Major Joint Procedures Of Lower Extremity Without MCC,19494.04,69077.05
66513,463,Wound Debridement And Skin Graft Except Hand For Musculoskeletal And Connective Tissue Disorders With MCC,33265.48,117876.09
66513,464,Wound Debridement And Skin Graft Except Hand For Musculoskeletal And Connective Tissue Disorders With CC,18441.9,65348.8
66513,465,Wound Debridement And Skin Graft Except Hand For Musculoskeletal And Connective Tissue Disorders Without CC/MCC,11430.32,40503.29
66513,466,Revision Of Hip Or Knee Replacement With MCC,21453,117427.91
66513,467,Revision Of Hip Or Knee Replacement With CC,21453,78567.95
66513,468,Revision Of Hip Or Knee Replacement Without CC/MCC,17384.8,61602.97
66513,469,Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity With MCC Or Total Ankle Replacement,19123.28,67763.27
66513,470,Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity Without MCC,11779.38,41740.19
66513,471,Cervical Spinal Fusion With MCC,27607,110217.47
66513,472,Cervical Spinal Fusion With CC,18929.84,67077.81
66513,473,Cervical Spinal Fusion Without CC/MCC,15749.24,55807.37
66513,474,Amputation For Musculoskeletal System And Connective Tissue Disorders With MCC,25251.36,89478.09
66513,475,Amputation For Musculoskeletal System And Connective Tissue Disorders With CC,13600.32,48192.68
66513,476,Amputation For Musculoskeletal System And Connective Tissue Disorders Without CC/MCC,7190.76,25480.43
66513,477,Biopsies Of Musculoskeletal System And Connective Tissue With MCC,20812.78,73750
66513,478,Biopsies Of Musculoskeletal System And Connective Tissue With CC,14612.78,51780.33
66513,479,Biopsies Of Musculoskeletal System And Connective Tissue Without CC/MCC,11217.66,39749.73
66513,480,Hip And Femur Procedures Except Major Joint With MCC,18463,66447.28
66513,481,Hip And Femur Procedures Except Major Joint With CC,12992.1,46037.45
66513,482,Hip And Femur Procedures Except Major Joint Without CC/MCC,10210.16,36179.66
66513,483,Major Joint Or Limb Reattachment Procedures Of Upper Extremities,14795.06,52426.24
66513,485,Knee Procedures With Principal Diagnosis Of Infection With MCC,21127.12,74863.86
66513,486,Knee Procedures With Principal Diagnosis Of Infection With CC,13320.08,47199.65
66513,487,Knee Procedures With Principal Diagnosis Of Infection Without CC/MCC,10169.86,36036.86
66513,488,Knee Procedures Without Principal Diagnosis Of Infection With CC/MCC,12242.52,43381.32
66513,489,Knee Procedures Without Principal Diagnosis Of Infection Without CC/MCC,8048.84,28521.03
66513,490,Back & Neck Proc Exc Spinal Fusion W CC/MCC Or Disc Device/Neurostim,20238,20238
66513,491,Back & Neck Proc Exc Spinal Fusion W/O CC/MCC,13110,13110
66513,492,"Lower Extremity And Humerus Procedures Except Hip, Foot And Femur With MCC",15622,76195.23
66513,493,"Lower Extremity And Humerus Procedures Except Hip, Foot And Femur With CC",14416.24,51083.89
66513,494,"Lower Extremity And Humerus Procedures Except Hip, Foot And Femur Without CC/MCC",10290,40685.64
